# Simulation 1 (Up to date)
# 177 data points written for 53 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Position parallel to wind (​),Position upwind (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-8.8368,0,8.8368,0,0,0,0,45,0,9.8062,90,0,0,0,64.41,3.2982,0.0012931,1.9839e-5,NaN,24.777,NaN,0.0056483,55240,0.062439,0,0.89398,0,0.6841,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0011144,0,0
0.01,0,0,-6.898,0,6.898,0,0,0,0,45,0,9.8062,90,0,0,0,64.41,3.2982,0.0012931,1.9839e-5,NaN,24.777,NaN,0.0056426,55184,0.18732,0,0.89417,0,0.68429,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.00169,0,0
0.02,0,0,-4.9589,0,4.9589,0,0,0,0,45,0,9.8062,90,0,0,0,64.407,3.2945,0.001293,1.9839e-5,NaN,24.777,NaN,0.0056369,55128,0.3122,0,0.89436,0,0.68448,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0022066,0,0
0.03,0,0,-3.0197,0,3.0197,0,0,0,0,45,0,9.8062,90,0,0,0,64.403,3.2909,0.001293,1.9838e-5,NaN,24.776,NaN,0.0056312,55072,0.43707,0,0.89455,0,0.68467,0.089876,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0026864,0,0
0.04,0,0,0.47893,0,0.47893,0,0,0,0,45,0,9.8062,90,0,0,0,64.399,3.2873,0.0012929,1.9838e-5,NaN,24.775,NaN,0.0056255,55016,0.66236,0,0.89475,0,0.68487,0.089876,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0031521,0,0
0.05,2.4002e-5,0.0048032,6.251,0.0048032,6.251,0,0,0,0,45,0,9.8062,89.857,0,0,0,64.389,3.2768,0.0012927,1.9838e-5,NaN,24.773,NaN,0.0056198,54961,1.0339,0,0.89494,3.5568e-8,0.68506,0.089876,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0037042,0,0
0.06,3.8473e-4,0.067351,12.047,0.067351,12.047,0,0,0,0,45,0,9.8062,87.966,0,0,0,64.371,3.2589,0.0012925,1.9837e-5,NaN,24.77,NaN,0.0055717,54490,1.4067,1.0696e-7,0.89658,9.8905e-5,0.6867,0.089876,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0043982,0,0
0.07,0.0016608,0.18787,17.846,0.18787,17.846,0,0,0,0,45,0,9.8062,84.288,0,0,0,64.352,3.2402,0.0012922,1.9836e-5,NaN,24.766,NaN,0.0055442,54221,1.7795,2.2552e-6,0.89753,0.0021061,0.68765,0.089876,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0048323,0,0
0.08,0.0044321,0.3664,24.065,0.3664,24.065,0,0,0,0,45,0,9.8062,78.856,0,0,0,64.334,3.2216,0.0012918,1.9836e-5,NaN,24.763,NaN,0.0055701,54474,2.1791,1.5869e-5,0.89664,0.014682,0.68676,0.089876,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.005271,0,0
0.09,0.0092998,0.60716,32.005,0.60716,32.005,0,0,0,0,45,0,9.8062,71.763,0,0,0,64.307,3.1947,0.0012914,1.9835e-5,NaN,24.757,NaN,0.0056998,55743,2.6888,6.653e-5,0.89225,0.058786,0.68237,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0058864,0,0
0.1,0.016972,0.92742,40.146,0.92742,40.146,0,0,0,0,45,0,9.8062,63.065,0,0,0,64.266,3.1541,0.0012908,1.9833e-5,NaN,24.749,NaN,0.0060144,58820,3.2104,2.1006e-4,0.88218,0.16669,0.67229,0.089877,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0064342,0,0
# Event LIFTOFF occurred at t=0.11 seconds
0.11,0.028255,1.3292,48.299,1.3292,48.299,0,0,0,0,45,0,9.8062,54.168,0,0,0,64.22,3.1081,0.00129,1.9831e-5,NaN,24.74,NaN,0.0066702,65233,3.732,5.1997e-4,0.86338,0.33549,0.6535,0.089878,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0070816,0,0
0.12,0.043963,1.8124,56.533,1.8124,56.533,0,0,0,0,45,0,9.8062,45.686,0,0,0,64.174,3.062,0.0012893,1.9829e-5,NaN,24.731,NaN,0.0076219,74541,4.2583,0.0010775,0.84031,0.53244,0.63042,0.08988,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0075405,0,0
0.13,0.064915,2.3781,65.919,2.3781,65.919,0,0,0,0,45,0,9.8062,38.208,0,0,0,64.123,3.011,0.0012884,1.9827e-5,NaN,24.721,NaN,0.0088914,86956,4.8577,0.0019506,0.81514,0.70827,0.60525,0.089883,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0081434,0,0
0.14,0.091995,3.0379,75.731,3.0379,75.731,0,0,0,0,45,0,9.8062,31.855,0,0,0,64.055,2.9434,0.0012873,1.9824e-5,NaN,24.708,NaN,0.010507,102759,5.4823,0.0032126,0.78953,0.8353,0.57963,0.089887,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0086472,0,0
0.15,0.12616,3.796,85.573,3.796,85.573,0,0,0,0,45,0,9.8062,26.628,0,0,0,63.976,2.864,0.001286,1.9821e-5,NaN,24.692,NaN,0.012475,122002,6.1069,0.004922,0.76487,0.9079,0.55496,0.089893,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0091347,0,0
0.16,0.16841,4.6525,95.514,4.6525,95.514,0,0,0,0,45,0,9.8062,21.863,0,0,0,63.897,2.7847,0.0012847,1.9818e-5,NaN,24.677,NaN,0.014728,144031,6.7368,0.0071158,0.74249,0.94176,0.53256,0.089901,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0096158,0,0
0.17,0.21971,5.6086,106.24,5.6086,106.24,0,0,0,0,45,0,9.8062,18.075,0,0,0,63.812,2.6994,0.0012834,1.9814e-5,NaN,24.66,NaN,0.017333,169506,7.415,0.0098076,0.72183,0.93719,0.51188,0.089912,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.010059,0,0
0.18,0.28111,6.6723,117.2,6.6723,117.2,0,0,0,0,45,0,9.8062,15.05,0,0,0,63.711,2.5991,0.0012817,1.981e-5,NaN,24.64,NaN,0.020298,198510,8.105,0.013005,0.70293,0.90613,0.49295,0.089926,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.010556,0,0
0.19,0.3537,7.8459,127.28,7.8459,127.28,0,0,0,0,45,0,9.8062,12.628,0,0,0,63.602,2.4897,0.0012799,1.9806e-5,NaN,24.618,NaN,0.023621,231005,8.7356,0.01667,0.68577,0.85768,0.47575,0.089945,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.011035,0,0
