# Simulation 2 (Up to date)
# 276 data points written for 53 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Position parallel to wind (​),Position upwind (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-8.2456,0,8.2456,0,0,0,0,45,0,9.8062,90,0,0,0,66.961,5.9985,0.0013326,1.9942e-5,NaN,25.254,NaN,0.0066276,64817,0.1045,0,0.86452,0,0.65464,0.089878,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0012602,0,0
0.01,0,0,-5.1243,0,5.1243,0,0,0,0,45,0,9.8062,90,0,0,0,66.961,5.9985,0.0013326,1.9942e-5,NaN,25.254,NaN,0.0066592,65126,0.3135,0,0.86368,0,0.65379,0.089878,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0018209,0,0
0.02,0,0,1.1223,0,1.1223,0,0,0,0,45,0,9.8062,90,0,0,0,66.958,5.9956,0.0013326,1.9942e-5,NaN,25.254,NaN,0.0066908,65435,0.73175,0,0.86284,0,0.65295,0.089878,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0025859,0,0
0.03,5.6165e-5,0.011235,10.497,0.011235,10.497,0,0,0,0,45,0,9.8062,89.719,0,0,0,66.949,5.9868,0.0013325,1.9942e-5,NaN,25.252,NaN,0.0067225,65745,1.3592,0,0.862,2.558e-7,0.65211,0.089878,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0030952,0,0
0.04,6.935e-4,0.11624,22.369,0.11624,22.369,0,0,0,0,45,0,9.8062,87.107,0,0,0,66.934,5.9722,0.0013323,1.9941e-5,NaN,25.25,NaN,0.0067626,66137,2.1536,4.3137e-7,0.86095,2.7077e-4,0.65106,0.089878,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0035814,0,0
0.05,0.0029747,0.34003,36.748,0.34003,36.748,0,0,0,0,45,0,9.8062,81.624,0,0,0,66.907,5.9448,0.0013318,1.994e-5,NaN,25.245,NaN,0.0068587,67077,3.1148,1.0095e-5,0.85846,0.0061604,0.64857,0.089878,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0041416,0,0
0.06,0.0082134,0.70774,51.796,0.70774,51.796,0,0,0,0,45,0,9.8062,73.092,0,0,0,66.867,5.9046,0.0013312,1.9938e-5,NaN,25.237,NaN,0.0071503,69929,4.1192,8.0899e-5,0.8512,0.045422,0.64132,0.089879,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0046984,0,0
0.07,0.017882,1.2261,70.751,1.2261,70.751,0,0,0,0,45,0,9.8062,62.424,0,0,0,66.818,5.8556,0.0013305,1.9936e-5,NaN,25.229,NaN,0.007781,76097,5.383,3.5454e-4,0.83684,0.1681,0.62695,0.08988,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0052171,0,0
# Event LIFTOFF occurred at t=0.08 seconds
0.08,0.033683,1.9342,90.4,1.9342,90.4,0,0,0,0,45,0,9.8062,50.742,0,0,0,66.751,5.7891,0.0013295,1.9934e-5,NaN,25.217,NaN,0.0089795,87818,6.69,0.0011027,0.81358,0.39259,0.60369,0.089883,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0057752,0,0
0.09,0.057549,2.8391,110.11,2.8391,110.11,0,0,0,0,45,0,9.8062,40.039,0,0,0,66.667,5.7047,0.0013282,1.993e-5,NaN,25.201,NaN,0.010895,106546,7.997,0.0026306,0.7842,0.63622,0.5743,0.089888,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0064081,0,0
0.1,0.091451,3.9416,130.38,3.9416,130.38,0,0,0,0,45,0,9.8062,31.386,0,0,0,66.564,5.602,0.0013267,1.9926e-5,NaN,25.183,NaN,0.013564,132657,9.3363,0.0051709,0.75341,0.80674,0.54349,0.089896,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0070277,0,0
0.11,0.13739,5.2472,153.59,5.2472,153.59,0,0,0,0,45,0,9.8062,24.254,0,0,0,66.444,5.4817,0.0013249,1.9921e-5,NaN,25.161,NaN,0.016908,165352,10.866,0.0088995,0.7249,0.89367,0.51496,0.08991,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0075495,0,0
0.12,0.19755,6.7856,170.04,6.7856,170.04,0,0,0,0,45,0,9.8062,18.902,0,0,0,66.306,5.3435,0.0013228,1.9915e-5,NaN,25.135,NaN,0.021071,206069,11.939,0.013991,0.69862,0.90463,0.48863,0.08993,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,4.9087,90,0,NaN,15,1013.2,340.39,0.01,0.0080472,0,0
